Município,Ortopedia_Qtd.aprovada,Proctologia_Qtd.aprovada,Urologia_Qtd.aprovada,CD_MUN
280010 AMPARO DE SAO FRANCISCO,38,7,13,2800100
280020 AQUIDABA,317,43,144,2800209
280030 ARACAJU,37353,6239,9047,2800308
280040 ARAUA,217,93,98,2800407
280050 AREIA BRANCA,319,78,121,2800506
280060 BARRA DOS COQUEIROS,1385,155,218,2800605
280067 BOQUIM,363,107,178,2800670
280070 BREJO GRANDE,71,3,23,2800704
280100 CAMPO DO BRITO,263,62,296,2801009
280110 CANHOBA,101,1,15,2801108
280120 CANINDE DE SAO FRANCISCO,365,55,143,2801207
280130 CAPELA,427,70,173,2801306
280140 CARIRA,255,87,289,2801405
280150 CARMOPOLIS,207,16,95,2801504
280160 CEDRO DE SAO JOAO,81,34,38,2801603
280170 CRISTINAPOLIS,335,101,109,2801702
280190 CUMBE,118,4,23,2801900
280200 DIVINA PASTORA,81,21,60,2802007
280210 ESTANCIA,2833,493,619,2802106
280220 FEIRA NOVA,161,12,34,2802205
280230 FREI PAULO,630,55,75,2802304
280240 GARARU,112,5,42,2802403
280250 GENERAL MAYNARD,43,2,20,2802502
280260 GRACHO CARDOSO,87,17,22,2802601
280270 ILHA DAS FLORES,94,21,50,2802700
280280 INDIAROBA,212,25,74,2802809
280290 ITABAIANA,2152,234,1017,2802908
280300 ITABAIANINHA,1475,280,313,2803005
280310 ITABI,89,20,35,2803104
280320 ITAPORANGA D'AJUDA,809,158,237,2803203
280330 JAPARATUBA,210,27,83,2803302
280340 JAPOATA,164,27,40,2803401
280350 LAGARTO,881,429,313,2803500
280360 LARANJEIRAS,469,90,116,2803609
280370 MACAMBIRA,125,24,49,2803708
280380 MALHADA DOS BOIS,48,12,20,2803807
280390 MALHADOR,165,86,115,2803906
280400 MARUIM,180,24,64,2804003
280410 MOITA BONITA,227,50,118,2804102
280420 MONTE ALEGRE DE SERGIPE,169,19,59,2804201
280430 MURIBECA,93,32,47,2804300
280440 NEOPOLIS,202,44,63,2804409
280445 NOSSA SENHORA APARECIDA,160,18,51,2804458
280450 NOSSA SENHORA DA GLORIA,659,92,244,2804508
280460 NOSSA SENHORA DAS DORES,452,89,154,2804607
280470 NOSSA SENHORA DE LOURDES,100,2,52,2804706
280480 NOSSA SENHORA DO SOCORRO,5779,300,1025,2804805
280490 PACATUBA,179,27,60,2804904
280500 PEDRA MOLE,36,1,13,2805000
280510 PEDRINHAS,146,27,37,2805109
280520 PINHAO,103,30,101,2805208
280530 PIRAMBU,144,13,72,2805307
280540 POCO REDONDO,350,31,154,2805406
280550 POCO VERDE,274,55,89,2805505
280560 PORTO DA FOLHA,437,21,152,2805604
280570 PROPRIA,758,138,645,2805703
280580 RIACHAO DO DANTAS,149,40,99,2805802
280590 RIACHUELO,192,18,60,2805901
280600 RIBEIROPOLIS,274,87,149,2806008
280610 ROSARIO DO CATETE,158,23,45,2806107
280620 SALGADO,213,51,66,2806206
280630 SANTA LUZIA DO ITANHY,181,30,71,2806305
280640 SANTANA DO SAO FRANCISCO,126,14,49,2806404
280650 SANTA ROSA DE LIMA,76,4,30,2806503
280660 SANTO AMARO DAS BROTAS,170,23,40,2806602
280670 SAO CRISTOVAO,2415,296,580,2806701
280680 SAO DOMINGOS,158,70,76,2806800
280690 SAO FRANCISCO,51,2,32,2806909
280700 SAO MIGUEL DO ALEIXO,57,3,15,2807006
280710 SIMAO DIAS,324,123,107,2807105
280720 SIRIRI,130,39,52,2807204
280730 TELHA,47,33,12,2807303
280740 TOBIAS BARRETO,429,118,250,2807402
280750 TOMAR DO GERU,165,47,58,2807501
280760 UMBAUBA,413,83,159,2807600
