Município;Centros;Total;CD_MUN
280010 AMPARO DE SAO FRANCISCO;-;0;2800100
280020 AQUIDABA;3;3;2800209
280030 ARACAJU;926;926;2800308
280040 ARAUA;1;1;2800407
280050 AREIA BRANCA;2;2;2800506
280060 BARRA DOS COQUEIROS;5;5;2800605
280067 BOQUIM;6;6;2800670
280070 BREJO GRANDE;-;0;2800704
280100 CAMPO DO BRITO;2;2;2801009
280110 CANHOBA;-;0;2801108
280120 CANINDE DE SAO FRANCISCO;4;4;2801207
280130 CAPELA;2;2;2801306
280140 CARIRA;2;2;2801405
280150 CARMOPOLIS;4;4;2801504
280160 CEDRO DE SAO JOAO;1;1;2801603
280170 CRISTINAPOLIS;1;1;2801702
280190 CUMBE;-;0;2801900
280200 DIVINA PASTORA;-;0;2802007
280210 ESTANCIA;14;14;2802106
280220 FEIRA NOVA;-;0;2802205
280230 FREI PAULO;3;3;2802304
280240 GARARU;-;0;2802403
280250 GENERAL MAYNARD;-;0;2802502
280260 GRACHO CARDOSO;-;0;2802601
280270 ILHA DAS FLORES;-;0;2802700
280280 INDIAROBA;1;1;2802809
280290 ITABAIANA;60;60;2802908
280300 ITABAIANINHA;1;1;2803005
280310 ITABI;1;1;2803104
280320 ITAPORANGA D'AJUDA;3;3;2803203
280330 JAPARATUBA;3;3;2803302
280340 JAPOATA;-;0;2803401
280350 LAGARTO;32;32;2803500
280360 LARANJEIRAS;3;3;2803609
280370 MACAMBIRA;1;1;2803708
280380 MALHADA DOS BOIS;1;1;2803807
280390 MALHADOR;1;1;2803906
280400 MARUIM;1;1;2804003
280410 MOITA BONITA;2;2;2804102
280420 MONTE ALEGRE DE SERGIPE;3;3;2804201
280430 MURIBECA;-;0;2804300
280440 NEOPOLIS;5;5;2804409
280445 NOSSA SENHORA APARECIDA;1;1;2804458
280450 NOSSA SENHORA DA GLORIA;9;9;2804508
280460 NOSSA SENHORA DAS DORES;1;1;2804607
280470 NOSSA SENHORA DE LOURDES;-;0;2804706
280480 NOSSA SENHORA DO SOCORRO;6;6;2804805
280490 PACATUBA;1;1;2804904
280500 PEDRA MOLE;1;1;2805000
280510 PEDRINHAS;-;0;2805109
280520 PINHAO;1;1;2805208
280530 PIRAMBU;-;0;2805307
280540 POCO REDONDO;1;1;2805406
280550 POCO VERDE;2;2;2805505
280560 PORTO DA FOLHA;2;2;2805604
280570 PROPRIA;28;28;2805703
280580 RIACHAO DO DANTAS;2;2;2805802
280590 RIACHUELO;-;0;2805901
280600 RIBEIROPOLIS;6;6;2806008
280610 ROSARIO DO CATETE;1;1;2806107
280620 SALGADO;-;0;2806206
280630 SANTA LUZIA DO ITANHY;-;0;2806305
280640 SANTANA DO SAO FRANCISCO;-;0;2806404
280650 SANTA ROSA DE LIMA;-;0;2806503
280660 SANTO AMARO DAS BROTAS;-;0;2806602
280670 SAO CRISTOVAO;11;11;2806701
280680 SAO DOMINGOS;1;1;2806800
280690 SAO FRANCISCO;-;0;2806909
280700 SAO MIGUEL DO ALEIXO;-;0;2807006
280710 SIMAO DIAS;7;7;2807105
280720 SIRIRI;1;1;2807204
280730 TELHA;-;0;2807303
280740 TOBIAS BARRETO;3;3;2807402
280750 TOMAR DO GERU;1;1;2807501
280760 UMBAUBA;3;3;2807600
